id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;DisponÌvel;Data;Status
15259;Sem Marca;Colete Listras e Formas;59.00;59.00;Colete de l„ com padronagem na parte frontal. Possui fechamento com botıes.;M;Vintage;;VENDIDO;49:00.8;VERIFICADO
15265;Levi's;Sobretudo Jeans com Pelos Levi‚Äôs;199.00;199.00;Sobretudo jeans acinturado. Apresenta pelo sintÈtico na gola e na parte interna da pala e da vista. Possui bolsos na parte da frente. Garimpado em Buenos Aires, Argentina.;P;Vintage;;VENDIDO;34:33.7;VERIFICADO
14249;Cabine A;Short Alto Cabine;50.00;50.00;Short de linho com cintura alta. N„o possui passador de cinto (o ˙nico que aparece nas fotos foi retirado), e a barra da perna È comprida, podendo ser usada dobrada como na modelo. PeÁa nova com etiqueta.;38;Vintage;;VENDIDO;49:27.1;VERIFICADO
15271;Sem Marca;SuÈter …tnico Gola;99.00;99.00;SuÈter branco com padronagem colorida. Possui gola com botıes na parte da frente. Garimpado em Buenos Aires, Argentina.;G;Vintage;;VENDIDO;32:08.7;VERIFICADO
15277;Macowens;Casaco Militar Macowens;89.00;149.00;Blazer azul marinho estilo militar. Possui 3 bolsos externos e 3 bolsos internos. … forrado. Garimpado em Buenos Aires, Argentina.;52;Vintage;;DISPONIVEL;48:25.5;VERIFICADO
15283;Sem Marca;Cardigan Forrado com Pelos;89.00;199.00;Cardigan vermelho em l„ sintÈtica, com padronagem de renas. Possui forro de pelo sintÈtico em toda a parte interna e capuz, com exceÁ„o das mangas. Tem dois bolsos na frente. Fechamento por botıes na frente. Garimpado em Buenos Aires, Argentina.;M;Vintage;;VENDIDO;43:10.5;VERIFICADO
14601;Le Poulet;Camisa Le Poulet;49.00;49.00;Camisa de manga curta estampada com um bolso na frente.;G;Vintage;;VENDIDO;24:10.4;VERIFICADO
13888;Marisa;SuÈter Cropped;48.00;48.00;SuÈter curto com padronagem. Possui gola ampla com botıes laterais.;P;Vintage;;VENDIDO;32:41.1;VERIFICADO
13889;Sem Marca;Cardigan Vintage;46.00;46.00;Cardigan com padronagem e botıes na frente. Possui tecido mais firme e grosso.;P;Vintage;;VENDIDO;11:20.9;VERIFICADO
13891;Sem Marca;Vestido Rabiscos;40.00;40.00;Vestido estampado com amarraÁ„o nos ombros e na cintura.;P;Vintage;;VENDIDO;05:13.6;VERIFICADO
13896;Sem Marca;SuÈter Ruby;39.00;63.00;SuÈter curto com padronagem.;P;Vintage;;VENDIDO;26:27.2;VERIFICADO
13897;Sem Marca;SuÈter Vintage;50.00;50.00;SuÈter com padronagem, gola e botıes.;U;Vintage;;VENDIDO;40:57.6;VERIFICADO
13899;Sem Marca;SuÈter Tons de Marrom;70.00;70.00;SuÈter com padronagem.;U;Vintage;;VENDIDO;10:10.5;VERIFICADO
13900;L„ Art;Cardigan Art;75.00;75.00;Cardigan com diferentes padronagens e texturas. Possui botıes na frente.;M;Vintage;;VENDIDO;24:41.1;VERIFICADO
13902;Tom e Jerry;Cardigan Mickey;51.00;51.00;Cardigan estampado com botıes. Possui pequenos desgastes de uso.;M;Vintage;;VENDIDO;37:23.3;VERIFICADO
13903;Grapefruit;Kimono Estampado;70.00;70.00;Kimono estampado com transparÍncia.;U;Vintage;;VENDIDO;08:46.8;VERIFICADO
13908;Siegel;Vestido Jeans Siegel;40.00;40.00;Vestido jeans com zÌper nas costas.;P;Vintage;;VENDIDO;26:20.2;VERIFICADO
13910;Sem Marca;SuÈter Midnight;52.00;52.00;SuÈter curto com padronagem.;P;Vintage;;VENDIDO;21:58.0;VERIFICADO
13915;GraÁa;SuÈter GraÁa Marinho;62.00;62.00;SuÈter de tricot com padronagem e ombreiras.;P;Vintage;;VENDIDO;56:09.8;VERIFICADO
13917;Sem Marca;SuÈter GeomÈtrico;48.00;48.00;SuÈter de tricot com padronagem na frente.;M;Vintage;;VENDIDO;50:41.6;VERIFICADO
13918;Sem Marca;Poncho Off-white;50.00;50.00;Poncho de tricot com franjas na barra.;U;Vintage;;VENDIDO;37:22.5;VERIFICADO
13919;Dicuore;SuÈter Dicuore;68.00;68.00;SuÈter de tricot com padronagem e ombreiras.;M;Vintage;;VENDIDO;23:55.9;VERIFICADO
